Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Kai Havertz,7.0,FW,27-003,90,2,0,1,1,4,2,0,0,1,1,0,0,0,1,0,0,0
Florian Wirtz,17.0,AM,23-042,90,0,1,0,0,3,0,0,0,0,0,0,1,2,1,0,0,0
Jamal Musiala,10.0,AM,23-108,63,1,0,0,0,3,1,0,0,2,2,0,0,2,0,0,0,0
Deniz Undav,26.0,"FW,MF",29-330,27,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Leroy Sané,19.0,AM,30-154,90,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0
Aleksandar Pavlovic,5.0,DM,22-042,90,0,0,0,0,3,1,0,0,6,1,0,0,3,0,0,0,0
Felix Nmecha,23.0,DM,25-247,72,1,0,0,0,4,3,0,0,1,1,0,0,2,0,0,0,0
Leon Goretzka,8.0,MF,31-128,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nathaniel Brown,18.0,LB,22-363,72,1,1,0,0,2,1,0,0,2,0,0,5,1,1,0,0,0
David Raum,22.0,"DF,MF",28-053,18,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0
Nico Schlotterbeck,15.0,CB,26-195,90,1,0,0,0,2,2,0,0,2,1,0,0,1,3,0,0,0
Jonathan Tah,4.0,CB,30-123,72,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Antonio Rüdiger,2.0,DF,33-103,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Kimmich,6.0,RB,31-126,82,0,2,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0
Waldemar Anton,3.0,"DF,MF",29-329,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Manuel Neuer,1.0,GK,40-079,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
